CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
871;DIOS ES AMOR;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;;;;
872;MATER CHRISTI;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;AV. SAN JUAN 468 SANTA TERESA;;;
873;ALPAMAYO;2;Q;LIMA;LIMA;ATE;LIMA/LIMA/ATE;LIMA / LIMA / ATE;JR. BUCARAMANGA 145 MAYORAZGO;x;x;x
874;SALCANTAY;2;Q;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SAN ISIDRO/SURCO;AV. PIO XII CUADRA 2;x;x;x
875;DON BOSCO;4;T;LIMA;LIMA;SANTA ANITA;LIMA/LIMA/SANTA ANITA;SANTA ANITA;;;;
877;SANTA ROSA;4;T;LIMA;LIMA;BARRANCO;LIMA/LIMA/BARRANCO;BARRANCO;;x;;
878;LOS SAUCES;4;T;LIMA;LIMA;SURQUILLO;LIMA/LIMA/SURQUILLO;SURQUILLO;;;;
879;SAN MIGUEL DE BISSO;4;T;LIMA;LIMA;EL AGUSTINO;LIMA/LIMA/EL AGUSTINO;EL AGUSTINO;;;;
880;SAN FRANCISCO DE ASIS;4;T;JUNIN;CHUPACA;YANACANCHA;JUNIN/CHUPACA/YANACANCHA;JUNIN - CHANCHAMAYO;;;;
881;RAUL VILLARAN;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA;;;;
882;GARCILASO PRONOE;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;ATE;;;;
883;INKA GAKUEN;4;T;LIMA;HUARAL;VEINTISIETE DE NOVIEMBRE;LIMA/HUARAL/VEINTISIETE DE NOVIEMBRE;HUARAL;ESQUINA LOS NARCISOS Y CIPRESES S/N;;;
884;SOR ANA DE LOS ANGELES MONTEAGUDO;4;T;CALLAO;CALLAO;VENTANILLA;CALLAO/CALLAO/VENTANILLA;VENTANILLA;;;;
885;ABELARDO ALVA MAURTUA;4;T;ICA;CHINCHA;CHINCHA ALTA;ICA/CHINCHA/CHINCHA ALTA;ICA - CHINCHA;AV. VICTORIA N° 265;;;
886;MARTIN ESQUICHA BERNEDO;4;T;LIMA;YAUYOS;VITIS;LIMA/YAUYOS/VITIS;LIMA;;;;
887;SANTA MARIA;4;T;AREQUIPA;LA UNION;TORO;AREQUIPA/LA UNION/TORO;AREQUIPA;;;;
888;SANTIAGO APOSTOL;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;JOSE GALVEZ CDRA. 3;x;;
889;RAMIRO VILLAVERDE DE LAZO;4;T;JUNIN;;;JUNIN//;JUNIN - HUANCAYO;;;;
890;DOMINGO SAVIO;4;T;PIURA;;;PIURA//;PIURA - PAITA;;;;
891;SAN FRANCISCO DE ASIS;4;T;JUNIN;CHANCHAMAYO;SAN RAMON;JUNIN/CHANCHAMAYO/SAN RAMON;JUNIN / CHANCHAMAYO / SAN RAMON;JR. LAS ORQUIDEAS # 164;;;
892;LOS ANGELES;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;AV. CANEVARO 550;;;
893;SARITA COLONIA;4;T;LIMA;LIMA;SURQUILLO;LIMA/LIMA/SURQUILLO;SURQUILLO;;;;
894;FRANCISCO SECADA VIGNETTA;4;T;LORETO;MAYNAS;IQUITOS;LORETO/MAYNAS/IQUITOS;LORETO - IQUITOS;PASAJE SAN JOSE S/N;;;
895;MICAELA BASTIDAS;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;;;;
896;ISAIAH BOWMAN;4;T;CUSCO;CUSCO;CUSCO;CUSCO/CUSCO/CUSCO;CUSCO;URB. QUISPICANCHIS F-8;;;
897;NUESTRA SEÑORA DEL CARMEN;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;;;;
899;SAN IGNACIO DE LOYOLA;4;T;JUNIN;CHUPACA;YANACANCHA;JUNIN/CHUPACA/YANACANCHA;JUNIN;;;;
900;SAN FRANCISCO SOLANO;4;T;LIMA;LIMA;COMAS;LIMA/LIMA/COMAS;COMAS;;;;
901;AA COLEGIOS EXTRANJERO/DIPLOMATICO;1;P;;;;//;SIN REGISTRO;SIN REGISTRO;;;
903;NIÑO DE JESUS;4;T;TUMBES;;;TUMBES//;TUMBES;;;;
904;SAN AGUSTIN;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA / MIRAFLORES;;;;
905;GUADALUPE;4;T;JUNIN;;;JUNIN//;JUNIN - HUANCAYO;;;;
906;SAN ISIDRO LABRADOR;4;T;LIMA;LIMA;SAN ISIDRO;LIMA/LIMA/SAN ISIDRO;SAN ISIDRO;;;;
907;CELESTIN FREINET;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;;;;
908;COLUMNA PASCO;4;T;PASCO;;;PASCO//;PASCO - CERRO DE PASCO;;;;
909;CONTINENTAL;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;SAN JUAN DE MIRAFLORES;;;;
910;DE CIENCIAS;4;T;HUANUCO;;;HUANUCO//;HUANUCO;;;;
911;DIVINA PROVIDENCIA;4;T;ICA;CHINCHA;SUNAMPE;ICA/CHINCHA/SUNAMPE;ICA - CHINCHA;AV. TERESA DE LA CRUZ 100;x;;
912;DOMINGO SAVIO;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;AYACUCHO 1411 LIGURIA;;;
913;EL BUEN PASTOR PARROQUIAL;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;SAN MARTIN DE PORRES - LOS OLIVOS;JR. ARIES 782;x;;
914;FELIX CIPRIANO ZEGARRA CORONEL;4;T;PIURA;;;PIURA//;PIURA - EL ALTO;;;;
916;INTERAMERICANO;4;T;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;LA LIBERTAD/TRUJILLO/VICTOR LARCO HERRERA;LA LIBERTAD - TRUJILLO;;;;
917;JEAN LE BOULCH;3;S;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;RODRIGO DE TRIANA S/N URB.SANTA PATRICIA;x;;
919;JOSE VELARDE VARGAS;4;T;PIURA;TALARA;PARIÑAS;PIURA/TALARA/PARIÑAS;TALARA;AV. JOSE QUIÑONES S/N VILLA FAP;;;
920;LA CASA DE CARTON;4;T;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;CHORRILLOS;ALAMEDA ENCANTADA H-12;;;
921;NAVARRO GONZALES ELIANO;4;T;JUNIN;;;JUNIN//;JUNIN - CHANCHAMAYO;;;;
922;NICOLAS COPERNICO;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA;;;;
923;NUESTRA SEÑORA DE LA MERCED;4;T;PUNO;;;PUNO//;PUNO;;;;
924;NUESTRA SEÑORA DEL BUEN CONSEJO;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;SAN JUAN DE MIRAFLORES;;;;
925;PEDRO RUIZ GALLO;4;T;LIMA;LIMA;VILLA EL SALVADOR;LIMA/LIMA/VILLA EL SALVADOR;VILLA EL SALVADOR;;;;
927;RESIDENCIAL DE LOS LIBERTADORES;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;;;;
928;RUBEN DARIO;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA;;;;
930;SAN ISIDRO;4;T;LIMA;LIMA;LURIGANCHO;LIMA/LIMA/LURIGANCHO;LURIGANCHO;;;;
931;SAN JUAN BOSCO;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;;;;
932;SAN JUAN DE MONTERRICO;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;;;;
933;SANTA CATALINA;4;T;PUNO;;;PUNO//;PUNO - JULIACA;;;;
934;SANTA EUGENIA;4;T;LIMA;LIMA;RIMAC;LIMA/LIMA/RIMAC;RIMAC;;;;
935;SANTA MARIA DE JESUS;4;T;LIMA;LIMA;CARABAYLLO;LIMA/LIMA/CARABAYLLO;CARABAYLLO;;;;
936;SANTA MARIA DE LA FRONTERA;4;T;TUMBES;;;TUMBES//;TUMBES;;;;
937;SANTA SOFIA;4;T;LIMA;LIMA;LURIGANCHO;LIMA/LIMA/LURIGANCHO;MAGDALENA;;;;
938;SANTA URSULA;3;S;AREQUIPA;;;AREQUIPA//;AREQUIPA;;;;
939;SANTA URSULA DE ZARATE;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;ZÁRATE;;;;
941;SOR ANA DE LOS ANGELES;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;;;;
942;ALEXANDER VON HUMBOLDT;4;T;TACNA;TACNA;CRNEL GREGORIO ALBARRACIN LANCHIPA;TACNA/TACNA/CRNEL GREGORIO ALBARRACIN LANCHIPA;TACNA;AV. TARAPACA S/N;;;
943;VON NEUMANN;4;T;LIMA;LIMA;BREÑA;LIMA/LIMA/BREÑA;BREÑA;;;;
944;CLARIDAD;4;T;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;;;;
945;ABRAHAM MASLOW;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;AV. BENAVIDES 768;;;
946;ALEXANDER VON HUMBOLDT;4;T;CUSCO;;;CUSCO//;CUSCO;;;;
947;ALFREDO BONIFAZ;4;T;LIMA;LIMA;RIMAC;LIMA/LIMA/RIMAC;RIMAC;;;;
948;BLAS PASCAL;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;CHACLACAYO;JR. SAN LUIS GONZAGA 511;;;
950;CLINTON RODHAM;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA;;;;
951;ENRIQUE LOPEZ ALBUJAR;4;T;AREQUIPA;;;AREQUIPA//;AREQUIPA;;;;
952;ESPIRITU SANTO;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;;;;
953;JULIO LA ROSA ROSAS;4;T;JUNIN;;;JUNIN//;JUNIN - CHANCHAMAYO;;;;
954;MARIA DE LAS MERCEDES;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;JR. FRANCISCO RIVAS 954;;;
955;SAN AGUSTIN;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;SAN JUAN DE LURIGANCHO;AV. DEL BOSQUE 430;;;
956;SAN ANTONIO;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;;;;
957;SAN COLUMBANO;4;T;LIMA;LIMA;SAN MARTIN DE PORRES;LIMA/LIMA/SAN MARTIN DE PORRES;SAN MARTIN DE PORRES;;;;
958;SAN LORENZO;4;T;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;;;;
959;SAN PABLO;4;T;LIMA;LIMA;LURIN;LIMA/LIMA/LURIN;LURIN;;;;
960;SAN PEDRO;4;T;ANCASH;;;ANCASH//;ANCASH - CARHUAZ;;;;
961;SANTA MARIA DE LA GRACIA;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA;;;;
962;SANTA ROSA;4;T;JUNIN;YAULI;YAULI;JUNIN/YAULI/YAULI;YAULI;;;;
963;SANTO TORIBIO DE MOGROVEJO;4;T;LIMA;YAUYOS;;LIMA/YAUYOS/;LAMBAYEQUE - CHICLAYO;;;;
964;SEÑOR DE LOS MILAGROS;4;T;LA LIBERTAD;;;LA LIBERTAD//;LA LIBERTAD - PACASMAYO;;;;
965;SEÑOR DE LUREN;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;;;;
966;VILLARREAL;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;LIMA;;;;
967;VIRGEN DEL ROSARIO;4;T;LIMA;LIMA;SAN LUIS;LIMA/LIMA/SAN LUIS;SAN LUIS;CA. 3 LOTE 2 MZ. E URB. EL ROSAL DE SALAMANCA;;;
968;VIRGEN INMACULADA;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;;;;
969;VIRGEN INMACULADA;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;;;;
970;ROSA MERINO;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;LA MAR 294;;;
971;HISPANO BRITANICO;4;T;LIMA;LIMA;LURIGANCHO;LIMA/LIMA/LURIGANCHO;MAGDALENA;;;;
972;SIR ALEXANDER FLEMING;4;T;LA LIBERTAD;TRUJILLO;TRUJILLO;LA LIBERTAD/TRUJILLO/TRUJILLO;LA LIBERTAD - TRUJILLO;AV. AMERICA SUR 3701;x;x;x
973;MARIA REYNA DE LOS ANGELES;4;T;CALLAO;CALLAO;LA PERLA;CALLAO/CALLAO/LA PERLA;CALLAO / CALLAO / LA PERLA;JIRON UCAYALI 195;;;
974;BRASIL;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;;AVENIDA BRASIL 2339;;;
976;RAMON CASTILLA;4;T;TACNA;;;TACNA//;TACNA - TOQUEPALA;;;;
977;MARCO POLO;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;VILLA MARIA DEL TRIUNFO;;;;
978;SOR ANGELICA CAMPODONICO;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA;;;;
979;DE JESUS;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;LOS OLIVOS;;;;
980;ALBERT EINSTEIN;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;LINCE;;;
981;VIRGEN DEL ROSARIO YUNGAY;4;T;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;MONTEVIDEO 261 SANTA PATRICIA I ETAPA;;;
982;CASTILLO REAL;4;T;LIMA;LIMA;CHACLACAYO;LIMA/LIMA/CHACLACAYO;CHACLACAYO;;;;
983;ANTONIO RAIMONDI;4;T;ICA;;;ICA//;ICA;ICA;;;
984;JOSE CARLOS MARIATEGUI;4;T;JUNIN;HUANCAYO;HUANCAYO;JUNIN/HUANCAYO/HUANCAYO;JUNIN / HUANCAYO / HUANCAYO;JIRON LORETO 409;;;
985;METROPOLITANO;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;LINCE;;;
986;CAMBRIDGE COLLEGE;1;Q;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;CHORRILLOS;ALAMEDA DE LOS MOLINOS 728-730 LA ENCANTADA;x;x;
987;MARISCAL CACERES;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;SURCO;;;
988;ELIM;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;SANTA BEATRIZ / LIMA;JR. PALCA 128;;;
989;BILINGUE;4;T;AREQUIPA;;;AREQUIPA//;AREQUIPA - CAMANÁ;;;;
990;ROSA DE AMERICA;4;T;LORETO;;;LORETO//;LORETO - IQUITOS;;;;
991;LOS REYES MAGOS;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;SAN JUAN DE LURIGANCHO;;;;
992;JAVIER PRADO;4;T;LIMA;LIMA;SAN LUIS;LIMA/LIMA/SAN LUIS;SAN LUIS;;;;
993;SAN LORENZO;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;ATE;LERIDA 216 URB. MAYORAZGO III ETAPA;;;
994;CHAPERITO;4;T;CALLAO;CALLAO;CALLAO;CALLAO/CALLAO/CALLAO;CALLAO;;;;
995;SAN JUAN MARIA VIANNEY;4;T;LIMA;LIMA;MAGDALENA DEL MAR;LIMA/LIMA/MAGDALENA DEL MAR;MAGDALENA;REY BASADRE158;;;
996;ELVIRA GARCIA LORENTE;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;;;;
998;AA COLEGIOS NO ESCOLARIZADOS;4;T;;;;//;;;;;
999;AA COLEGIOS NO REGISTRADOS;4;T;;;;//;SIN REGISTRO;SIN REGISTRO;;;
1000;SEÑOR DE LOS MILAGROS;4;T;LIMA;LIMA;ANCON;LIMA/LIMA/ANCON;ANCON / BELLAVISTA;;;;
1001;MARIANO IBERICO RODRIGUEZ;4;T;CAJAMARCA;SANTA CRUZ;YAUYUCAN;CAJAMARCA/SANTA CRUZ/YAUYUCAN;CAJAMARCA;;;;
1002;ANTON BRUCKNER;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;SAN JUAN DE MIRAFLORES;;;;
1003;NSTRA SRA. DE LA MACARENA;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;;;;
1004;VIRGEN DE LAS MERCEDES;4;T;LIMA;LIMA;CARABAYLLO;LIMA/LIMA/CARABAYLLO;CARABAYLLO;;;;
1005;VIRGEN DE LA PUERTA;4;T;LA LIBERTAD;TRUJILLO;;LA LIBERTAD/TRUJILLO/;LA LIBERTAD - TRUJILLO;;;;
1007;AMERICANO DE SAN BORJA;4;T;LIMA;LIMA;SAN BORJA;LIMA/LIMA/SAN BORJA;SAN BORJA;CALLE TASSO 465;;;
1008;ANTONIO RAYMONDI;4;T;UCAYALI;;;UCAYALI//;UCAYALI;;;;
1009;LA INMACULADA;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;;;;
1010;KHIPU;4;T;CUSCO;;;CUSCO//;CUSCO;;;;
1011;MARIE REICHE;4;T;LIMA;LIMA;SAN BORJA;LIMA/LIMA/SAN BORJA;SAN BORJA;BARTOLOME BERMEJO 148;;;
1012;LIMA VILLA COLLEGE (DOMINGO FAUSTINO SARMIENTO);2;R;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;LIMA / LIMA / CHORRILLOS;ALAMEDA DON ALFONSO 125 (CA. PALMA REAL 147 CAMACHO);;;
1013;NEWTON COLLEGE (SIR ISAAC NEWTON);4;T;ANCASH;SANTA;CHIMBOTE;ANCASH/SANTA/CHIMBOTE;ANCASH - CHIMBOTE;JR. JOSE OLAYA 981;;;
1014;TUPAC AMARU PNP;4;T;LIMA;LIMA;;LIMA/LIMA/;LIMA;;;;
1015;LICEO VICTORIA;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;;;;
1016;SAN ALFONSO MARIA;4;T;LIMA;LIMA;;LIMA/LIMA/;LOS CEDROS DE VILLA;;;;
1017;MARIE CURIE;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;;;;
1018;VIRGEN DEL ROSARIO DE YAUCA;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;LOS OLIVOS;;;;
1019;CONFUCIO;4;T;LIMA;LIMA;SAN MIGUEL;LIMA/LIMA/SAN MIGUEL;LIMA-SAN MIGUEL;RIVAGÜERO 350;x;;
1020;KERPEN HORREN;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;VILLA MARIA DEL TRIUNFO;;;;
1021;"MERCEDARIA ""SAN PEDRO PASCUAL""";4;T;AREQUIPA;;;AREQUIPA//;AREQUIPA;;;;
1024;VIRGEN DE GUADALUPE;4;T;ANCASH;SANTA;;ANCASH/SANTA/;ANCASH - CHIMBOTE;;;;
1025;ANDRES AVELINO CACERES (MARISCAL);4;T;LORETO;MAYNAS;IQUITOS;LORETO/MAYNAS/IQUITOS;LORETO - IQUITOS;JORGE CHAVEZ S/N;;;
1026;SANTO DOMINGO;4;T;LIMA;LIMA;COMAS;LIMA/LIMA/COMAS;COMAS;;;;
1027;SOR ANA DE LOS ANGELES;4;T;CALLAO;CALLAO;CALLAO;CALLAO/CALLAO/CALLAO;CALLAO;;;;
1028;SANTA CATALINA;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;JR. CHOQUEHUANCA 177;;;
1029;INTERAMERICANO;4;T;CAJAMARCA;;;CAJAMARCA//;CAJAMARCA;;;;
1030;WALT WHITMAN;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;ATE;;;;
1031;RAFAEL NARVAEZ CADENILLAS;4;T;LA LIBERTAD;TRUJILLO;;LA LIBERTAD/TRUJILLO/;LA LIBERTAD - TRUJILLO;;;;
1033;BUONARROTI / MIGUEL ANGEL BUONARROTI;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;CL. MAX GONZALES OLAECHEA 240;;;
1034;FRANKLIN ROOSEVELT;4;T;LA LIBERTAD;TRUJILLO;TRUJILLO;LA LIBERTAD/TRUJILLO/TRUJILLO;LA LIBERTAD - TRUJILLO;AV. AMÉRICA SUR N° 3845 - URB LA MERCED;;;
1035;INTEGRAL X LA CATOLICA;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;SAN JUAN DE LURIGANCHO;;;;
1036;RENEE CAMACHO FARQUI;4;T;AREQUIPA;;;AREQUIPA//;AREQUIPA;;;;
1037;SANTA ROSA;4;T;LIMA;LIMA;ANCON;LIMA/LIMA/ANCON;ANCON;;;;
1038;TRILCE;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES / SURCO;AV. BENAVIDES 1930;;;
1039;ZARATE;4;T;JUNIN;HUANCAYO;HUANCAYO;JUNIN/HUANCAYO/HUANCAYO;JUNIN - HUANCAYO;JR. HUANCAS 209 URB. SAN CARLOS;;;
1040;MELVIN JONES;4;T;LIMA;LIMA;SAN LUIS;LIMA/LIMA/SAN LUIS;SAN LUIS;;;;
1041;KONRAD ADENAUER;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;SAN JUAN DE LURIGANCHO;;;;
1043;SAN JOSE;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;SAN JUAN DE MIRAFLORES;;;;
1044;CAYETANO HEREDIA;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;LOS OLIVOS;;;;
1045;SAN BASILIO;4;T;LIMA;LIMA;RIMAC;LIMA/LIMA/RIMAC;RIMAC;;;;
1046;HANS CHRISTIAN OERSTED;4;T;LIMA;LIMA;COMAS;LIMA/LIMA/COMAS;LIMA / LIMA / COMAS;JIRON 8 DE MARZO 183;;;
1047;SAN FRANCISCO DE SALES;4;T;JUNIN;HUANCAYO;HUANCAYO;JUNIN/HUANCAYO/HUANCAYO;JUNIN - HUANCAYO;;;;
1048;INTEGRADO ATAHUALPA;4;T;JUNIN;SATIPO;SATIPO;JUNIN/SATIPO/SATIPO;SATIPO;;;;
1049;MONITOR HUASCAR;4;T;LIMA;LIMA;SANTA ANITA;LIMA/LIMA/SANTA ANITA;SANTA ANITA;;;;
1050;SAN JOSE DE SAN VICENTE;4;T;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;LIMA/CAÑETE/SAN VICENTE DE CAÑETE;SAN VICENTE DE CAÑETE;;;;
1051;ALGARROBOS;4;T;LAMBAYEQUE;CHICLAYO;CHICLAYO;LAMBAYEQUE/CHICLAYO/CHICLAYO;LAMBAYEQUE - CHICLAYO;MESONES MURO 194;x;;
1052;CEIBOS;4;T;LAMBAYEQUE;CHICLAYO;CHICLAYO;LAMBAYEQUE/CHICLAYO/CHICLAYO;LAMBAYEQUE - CHICLAYO;PROLONGACION BOLOGNESI S/N URB. EL SANTUARIO;x;;
1053;VALLESOL;4;T;PIURA;PIURA;PIURA;PIURA/PIURA/PIURA;PIURA;ANTONIO RAYMONDI S/N URB. SAN EDUARDO;x;;
1054;LA FE DE MARIA;4;T;LIMA;LIMA;COMAS;LIMA/LIMA/COMAS;COMAS;;;;
1056;NIÑO JESUS DE PRAGA;4;T;JUNIN;;;JUNIN//;JUNIN - TARMA;;;;
1057;SAN BASILIO;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;MAYORAZGO;AV. LAS PALMAS 140 MAYORAZGO;;;
1059;SANTA ROSA  1;4;T;JUNIN;TARMA;TARMA;JUNIN/TARMA/TARMA;TARMA;TARMA;;;
1060;SAN BENITO DE PALERMO;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;ATE;ATE;;;
1061;JEAN PIAGET;4;T;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;AV.LA ALAMEDA DE LA PAZ 541 LAS VIÑAS;;;
1062;ISAAC NEWTON;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA;AV. BRASIL 2309;;;
1063;SAN ANTONIO MARIA CLARET;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;SURCO;;;
1064;SIMON BOLIVAR;4;T;LIMA;LIMA;SAN BARTOLO;LIMA/LIMA/SAN BARTOLO;SAN BARTOLO;SAN BARTOLO;;;
1065;JUAN JACOBO ROUSSEAU;3;S;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;LOS TALLANES 165;;;
1066;BARBARA D ACHILLE;4;T;CALLAO;CALLAO;LA PERLA;CALLAO/CALLAO/LA PERLA;CALLAO - LA PERLA;CALLAO;;;
1068;EBENEZER;4;T;LIMA;LIMA;COMAS;LIMA/LIMA/COMAS;COMAS;COMAS;;;
1069;A&S;4;T;ICA;CHINCHA;CHINCHA ALTA;ICA/CHINCHA/CHINCHA ALTA;CHINCHA ALTA;CHINCHA ALTA;;;
1070;ISAAC NEWTON;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;ATE;AV. METROPOLITANO TILDA;;;
