CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
2630;HEROINA MICAELA BASTIDAS;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;LIMA / LIMA / SAN JUAN DE LURIGANCHO;JR. LOS RUBIES N° 1704 - URB. FLORES 78;;;
2631;SONIA AMADOR JAIME II;4;T;LIMA;LIMA;COMAS;LIMA/LIMA/COMAS;LIMA / LIMA / COMAS;AV. PUNO # 247 - KM. 11;;;
2632;MARIANO SANTOS MATEO;4;T;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;LIMA / LIMA / CHORRILLOS;AA.HH. SAN GENARO MZ N2 LT 2;;;
2633;REYNALDO DE VIVANCO;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;LIMA / LIMA / SAN JUAN DE MIRAFLORES;JR. REYNALDO DE VIVANCO 116 - CIUDAD DE DIOS;;;
2634;SANTO DOMINGO - JICAMARCA;4;T;LIMA;HUAROCHIRI;SAN ANTONIO;LIMA/HUAROCHIRI/SAN ANTONIO;LIMA / HUAROCHIRI / SAN ANTONIO;MZ CP LOTE 10. AV. MARISCAL TOMBIO LUZURRIAGA;;;
2635;BRITANICO EUROPEO DUNALASTAIR;4;T;AREQUIPA;AREQUIPA;YANAHUARA;AREQUIPA/AREQUIPA/YANAHUARA;AREQUIPA / AREQUIPA / YANAHUARA;AV. BOLOGNESI 138;;;
2636;GENES DE LOS OLIVOS;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;LIMA / LIMA / LOS OLIVOS;AV. UNIVERSITARIA MZ. A, LT 6,8;;;
2637;LOS ROBLES;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA / LIMA / LIMA;JR. CARLOS ARRIETA 1249 URB. SANTA BEATRIZ;;;
2638;SANTIAGO APOSTOL;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;LIMA / LIMA / SAN JUAN DE LURIGANCHO;AV. CANTO GRANDE 2551;;;
2639;NUESTRA SEÑORA DE LA ASUNCION;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;LIMA / LIMA / SAN JUAN DE LURIGANCHO;JR. CORICANCHA 736 URB. ZARATE;;;
2640;LEONARD EULER;4;T;ICA;CHINCHA;CHINCHA ALTA;ICA/CHINCHA/CHINCHA ALTA;ICA / CHINCHA / CHINCHA ALTA;CALLE RENE TOCHE 158;;;
2641;MARIA MONTESSORI;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;LIMA / LIMA / VILLA MARIA DEL TRIUNFO;JR. MARAÑON 159 JOSE GALVEZ;;;
2642;CEBA DEL IPEC;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;LIMA / LIMA / LOS OLIVOS;AV. CARLOS IZAGUIRRE 400;;;
2643;EBEN EZER ZARUMILLA EIRL;4;T;TUMBES;ZARUMILLA;ZARUMILLA;TUMBES/ZARUMILLA/ZARUMILLA;TUMBES / ZARUMILLA / ZARUMILLA;CALLE MARISCAL CASTILLA 105;;;
2644;SAN FERNANDO;4;T;LIMA;LIMA;SAN MARTIN DE PORRES;LIMA/LIMA/SAN MARTIN DE PORRES;LIMA / LIMA / SAN MARTIN DE PORRES;CALLE SAN ORLANDO 999;;;
2645;JOHN NAPIER;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;LIMA / LIMA / SAN JUAN DE MIRAFLORES;JR. IGNACIO SEMINARIO 1297;;;
2646;ANTONIO RAIMONDI;4;T;PUNO;EL COLLAO;ILAVE;PUNO/EL COLLAO/ILAVE;PUNO / EL COLLAO / ILAVE;JIRON SANTA ANA 167;;;
2647;INGENIERIA DE JOSE GALVEZ;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;LIMA / LIMA / VILLA MARIA DEL TRIUNFO;AV. MIGUEL GRAU 2343 - JOSE GALVEZ;;;
2648;PROCERES DE LA INDEPENDENCIA;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;LIMA / LIMA / VILLA MARIA DEL TRIUNFO;JR. SECHURA 205 JOSE GALVEZ;;;
2649;SAN MARTIN DE PORRES;4;T;AREQUIPA;CARAVELI;ACARI;AREQUIPA/CARAVELI/ACARI;AREQUIPA / CARAVELI / ACARI;AV. ENRIQUE BRYLKA S/N;;;
2650;PROLOG. DE CEDROS DE VILLA;4;T;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;LIMA / LIMA / CHORRILLOS;ALAMEDA SUR 949;;;
2651;GARCILASO DE LA VEGA;4;T;LORETO;MAYNAS;IQUITOS;LORETO/MAYNAS/IQUITOS;LORETO / MAYNAS / IQUITOS;CALLE HUALLAGA 274;;;
2652;VIRGEN DE LA PUERTA;4;T;LIMA;LIMA;PACHACAMAC;LIMA/LIMA/PACHACAMAC;LIMA / LIMA / PACHACAMAC;MANZANA C4, LOTE 12-13, SECTOR C HUERTOS DE MANCHAY;;;
2653;AUGUSTO N. WIESE;4;T;LIMA;LIMA;EL AGUSTINO;LIMA/LIMA/EL AGUSTINO;LIMA / LIMA / EL AGUSTINO;LAS TUNAS 174;;;
2654;SANTO DOMINGO DE CHANCAY;4;T;LIMA;HUARAL;CHANCAY;LIMA/HUARAL/CHANCAY;LIMA / HUARAL / CHANCAY;CALLE BENJAMIN VISQUERRA 301;;;
2655;PAMER;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;LIMA / LIMA / JESUS MARIA;AV. REPUBLICA DE CHILE 498;;;
2656;CRISTO SEMBRADOR;4;T;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA/LIMA/SAN JUAN DE MIRAFLORES;LIMA / LIMA / SAN JUAN DE MIRAFLORES;SECTOR LEONCIO PRADO MA A, LOTE 28, PAMPLONA ALTA;;;
