number;name;remote_id;source;image;;;;
221;NUESTRA SEÑORA DE COPACABANA;4;T;LIMA;;;;
222;NUESTRA SEÑORA DE LA CONSOLACION;4;T;LIMA;;;;
223;NUESTRA SEÑORA DE LA MERCED;4;T;LIMA;;;;
224;NUESTRA SEÑORA DE LA MERCED;4;T;LIMA;;;;
225;NUESTRA SEÑORA DE LA PAZ;4;T;LIMA;;;;
226;NUESTRA SEÑORA DE LOURDES;4;T;LIMA;;;;
227;NUESTRA SEÑORA DE LOURDES;4;T;PIURA;;;;
228;NUESTRA SEÑORA DEL CARMEN-CARMELITAS;3;S;LIMA;;;;
229;NUESTRA SEÑORA DEL CARMEN;4;T;LIMA;;;;
230;NUESTRA SEÑORA DEL CARMEN;4;T;LAMBAYEQUE;;;;
231;NUESTRA SEÑORA DEL CARMEN;4;T;AREQUIPA;;;;
232;NUESTRA SEÑORA DEL PILAR;4;T;AREQUIPA;;;;
233;NUESTRA SEÑORA DEL PILAR;4;T;LIMA;;;;
234;NUESTRA SEÑORA DE TARAPOTO;4;T;SAN MARTIN;;;;
235;NUESTRA SEÑORA DEL CARMEN;4;T;LIMA;;;;
236;NUESTRA SEÑORA DEL PRADO;4;T;LIMA;;;;
237;NUESTRA SEÑORA DEL ROSARIO DE FATIMA;4;T;LIMA;;;;
238;NEWTON COLLEGE;1;P;LIMA;;;;
239;NUESTRA SEÑORA DE LA ASUNCION;4;T;LIMA;;;;
240;NUESTRA SEÑORA DE LA ASUNCION;4;T;LIMA;;;;
241;NUESTRA SEÑORA DE LA CANDELA;4;T;LIMA;;;;
242;NUESTRA SEÑORA DE LOS DESAMPARADOS;4;T;LIMA;;;;
243;NUESTRA SEÑORA DE MONTSERRAT/MONSERRATE;4;T;LIMA;;;;
244;NUESTRA SEÑORA DEL CARMELO;4;T;LIMA;;;;
245;NUESTRA SEÑORA DEL PATROCINIO;4;T;LIMA;;;;
246;NUESTRA SEÑORA DEL PERPETUO SOCORRO;4;T;LIMA;;;;
247;NUESTRA SEÑORA DEL ROSARIO;4;T;LIMA;;;;
248;NUESTRA SEÑORA DEL SAGRADO CORAZON;4;T;ANCASH;;;;
249;NUESTRA SEÑORA DE LA MISERICORDIA;4;T;LIMA;;;;
250;PALESTRA;2;S;LIMA;;;;
251;PANAMERICANA;4;T;CALLAO;;;;
252;PATROCINIO SAN JOSE;4;T;LIMA;;;;
253;PEDRO RUIZ GALLO;4;T;LIMA;;;;
254;PERPETUO SOCORRO;4;T;LIMA;;;;
256;PERUANO BRITANICO;1;P;LIMA;;;;
257;SAN JUAN DE LAS AMERICAS;4;T;LIMA;;;;
258;PERUANO CANADIENSE;4;T;ICA;;;;
259;PERUANO NORTEAMERICANO;4;T;LIMA;;;;
260;PESTALOZZI;2;Q;LIMA;;;;
261;INCA GARCILAZO DE LA VEGA;4;T;LIMA;;;;
262;SANTA ROSA DE LIMA;4;T;LIMA;;;;
263;PRINCESA MARGARITA;4;T;LIMA;;;;
264;POLO JIMENEZ;4;T;LIMA;;;;
265;PORRAS BARRENECHEA RAUL;4;T;LIMA;;;;
266;PANDO;4;T;LIMA;;;;
267;PADRES MARYKNOLL;4;T;LIMA;;;;
268;PRECURSORES DE LA INDEPENDENCIA;4;T;LIMA;;;;
269;PEDRO RUIZ GALLO;4;T;PIURA;;;;
270;PIO XII;4;S;LIMA;;;;
271;PUNTA ARENAS;4;T;PIURA;;;;
272;POLITECNICO REGIONAL OCHARAN;4;T;LA LIBERTAD;;;;
273;RAMON CASTILLA;4;T;LA LIBERTAD;;;;
