id;name;;;;;;;
246;NUESTRA SEÑORA DEL PERPETUO SOCORRO;;;;;;;
247;NUESTRA SEÑORA DEL ROSARIO;;;;;;;
248;NUESTRA SEÑORA DEL SAGRADO CORAZON;;;;;;;
249;NUESTRA SEÑORA DE LA MISERICORDIA;;;;;;;
250;PALESTRA;;;;;;;
251;PANAMERICANA;;;;;;;
252;PATROCINIO SAN JOSE;;;;;;;
253;PEDRO RUIZ GALLO;;;;;;;
254;PERPETUO SOCORRO;;;;;;;
256;PERUANO BRITANICO;;;;;;;
257;SAN JUAN DE LAS AMERICAS;;;;;;;
258;PERUANO CANADIENSE;;;;;;;
259;PERUANO NORTEAMERICANO;;;;;;;
260;PESTALOZZI;;;;;;;
261;INCA GARCILAZO DE LA VEGA;;;;;;;
262;SANTA ROSA DE LIMA;;;;;;;
263;PRINCESA MARGARITA;;;;;;;
264;POLO JIMENEZ;;;;;;;
265;PORRAS BARRENECHEA RAUL;;;;;;;
266;PANDO;;;;;;;
267;PADRES MARYKNOLL;;;;;;;
268;PRECURSORES DE LA INDEPENDENCIA;;;;;;;
269;PEDRO RUIZ GALLO;;;;;;;
270;PIO XII;;;;;;;
271;PUNTA ARENAS;;;;;;;
272;POLITECNICO REGIONAL OCHARAN;;;;;;;
273;RAMON CASTILLA;;;;;;;
274;REGINA PACIS;;;;;;;
275;REYNA DEL SANTISIMO ROSARIO;;;;;;;
276;REYNA DE LA PAZ;;;;;;;
277;REINA DE LAS AMERICAS;;;;;;;
278;REINA DE LOS ANGELES;;;;;;;
279;RESIDENCIAL MIRAFLORES;;;;;;;
280;ROSARIO DE FATIMA;;;;;;;
281;ROSA DE AMERICA;;;;;;;
282;ROSA DE LIMA;;;;;;;
283;REINA DEL MUNDO;;;;;;;
284;RICARDO PALMA;;;;;;;
285;FRANKLIN DELANO ROOSEVELT;;;;;;;
286;RECOLETA SS.CC.;;;;;;;
287;BELEN SS.CC.;;;;;;;
288;SOPHIANUM;;;;;;;
289;SOPHIANUM;;;;;;;
290;DE MARIA;;;;;;;
291;SAGRADOS CORAZONES;;;;;;;
292;SAGRADOS CORAZONES;;;;;;;
293;SALESIANO;;;;;;;
294;EL PARAISO;;;;;;;
295;SALESIANO;;;;;;;
296;SAGRADO CORAZON;;;;;;;
297;SAGRADO CORAZON;;;;;;;
298;SAN AGUSTIN - LIMA;;;;;;;
299;SAN AGUSTIN - LORETO;;;;;;;
300;SAN ANDRES;;;;;;;
301;SAN ANSELMO;;;;;;;
302;SAN ANTONIO;;;;;;;
303;SAN ANTONIO MARISTAS;;;;;;;
304;SAN ANTONIO VARONES;;;;;;;
305;SAN ANTONIO ABAD;;;;;;;
306;SAN ANTONIO DE PADUA;;;;;;;
307;SAN ANTONIO DE PADUA;;;;;;;
308;SAN ANTONIO MARIA CLARET;;;;;;;
309;SAN CARLOS;;;;;;;
310;SAN JOSE;;;;;;;
311;SAN JULIAN;;;;;;;
312;SAN CIPRIANO;;;;;;;
313;SAN CLEMENTE;;;;;;;
314;SAN FELIPE;;;;;;;
316;SAN FRANCISCO DE SALES;;;;;;;
317;SAN FRANCISCO DE BORJA;;;;;;;
318;SAN FRANCISCO;;;;;;;
319;SAN FRANCISCO DE ASIS;;;;;;;
320;SAN FRANCISCO DE JAVIER;;;;;;;
321;SAN HILARION;;;;;;;
322;SAN IDELFONSO;;;;;;;
323;SAN IGNACIO DE LOYOLA;;;;;;;
324;SAN IGNACIO DE LOYOLA;;;;;;;
325;SAN LORENZO;;;;;;;
326;SAN JORGE (ST. GEORGE'S COLLEGE - SAN JORGE SUR);;;;;;;
327;SAN JORGE;;;;;;;
328;SAN JORGE;;;;;;;
329;SAN JOSE DE MONTERRICO;;;;;;;
330;SAN JOSE;;;;;;;
331;SAN JOSE;;;;;;;
332;SAN JOSE;;;;;;;
333;SAN JOSE;;;;;;;
334;SAN JOSE DE ANCHIETA;;;;;;;
335;SAN JOSE DE ARTESANOS;;;;;;;
336;SAN JOSE HNOS. MARISTAS;;;;;;;
337;SAN JOSE HNOS. MARISTAS;;;;;;;
338;SAN JOSE DE CLUNY;;;;;;;
339;SAN JOSE DE CLUNY;;;;;;;
340;SAN JOSE DE CALAZAES;;;;;;;
341;SAN JOSE OBRERO;;;;;;;
342;SAN JOSE OBRERO;;;;;;;
343;SAN JUAN / SAN JUAN DE BARRANCO;;;;;;;
344;SAN JUAN;;;;;;;
345;SAN JUAN BAUTISTA;;;;;;;
346;SAN JUAN BOSCO;;;;;;;
348;SANTO TORIBIO DE MOGROVEJO;;;;;;;
349;SAN LUIS GONZAGA;;;;;;;
350;SAN LUIS HNOS. MARISTAS;;;;;;;
351;SAN MARCELO;;;;;;;
352;SAN MARCOS DE MONTERRICO;;;;;;;
353;SAN MARCOS;;;;;;;
355;SAN MIGUEL;;;;;;;
356;SAN NORBERTO;;;;;;;
357;NUESTRA SRA. DE LA MERCED;;;;;;;
358;SAN SILVESTRE;;;;;;;
359;SAN VALENTIN;;;;;;;
360;SAN VICENTE;;;;;;;
361;SAN VICENTE DE PAUL;;;;;;;
362;SAN VICENTE;;;;;;;
363;SAN SEBASTIAN;;;;;;;
364;SAN SEBASTIAN;;;;;;;
365;SANTA ANA;;;;;;;
366;SANTA ANA;;;;;;;
367;SANTA ANA;;;;;;;
368;SANTA ANGELA;;;;;;;
369;SANTA ANGELA;;;;;;;
370;SANTA ANITA;;;;;;;
371;SANTA BEATRIZ;;;;;;;
372;SANTA CLARA;;;;;;;
375;SANTA ISABEL DE HUNGRIA;;;;;;;
376;SANTA LEONOR;;;;;;;
377;SANTA MAGDALENA;;;;;;;
378;SANTA MARGARITA;;;;;;;
379;SANTA MARGARITA;;;;;;;
381;SAN PABLO;;;;;;;
382;SANTA MARIA DE FATIMA;;;;;;;
383;SANTA MATILDE;;;;;;;
384;SANTA MARIA;;;;;;;
385;SANTA MARIA DE CHOSICA;;;;;;;
386;SANTA MARIA;;;;;;;
387;SANTA MARIA;;;;;;;
388;SANTA MARIA REYNA;;;;;;;
389;SANTA MARIA;;;;;;;
390;SANTA MARIA;;;;;;;
391;SANTA MARTHA;;;;;;;
392;SANTA MARIA;;;;;;;
393;SANTA MARIA DE CERVELLO;;;;;;;
394;SANTA MARIA EUFRASIA;;;;;;;
395;SANTA MARIA GORETTI;;;;;;;
397;LINCOLN;;;;;;;
398;SANTA RITA DE CASIA;;;;;;;
399;SANTA RITA DE CASIA;;;;;;;
400;SANTA RITA;;;;;;;
401;SANTA ROSA;;;;;;;
402;PIERE MARIE CURIE;;;;;;;
403;SANTA ROSA;;;;;;;
404;SANTA ROSA;;;;;;;
405;SANTA SOFIA;;;;;;;
406;SANTA TERESITA DEL NIÑO JESUS;;;;;;;
407;SANTA URSULA;;;;;;;
408;SANTA URSULA;;;;;;;
409;SAN VICENTE;;;;;;;
410;SANTISIMO NOMBRE DE JESUS;;;;;;;
411;SANTISIMO SALVADOR;;;;;;;
412;SANTO DOMINGO SAVIO;;;;;;;
413;SANTO TOMAS DE AQUINO;;;;;;;
414;SENOR DE LOS MILAGROS;;;;;;;
415;SENOR DE LA MISERICORDIA;;;;;;;
416;SOR ROSA LARRABURE;;;;;;;
417;SUCRE;;;;;;;
419;SANTA MARIA DE FATIMA;;;;;;;
421;SANTA ROSA DE LIMA;;;;;;;
422;SANTA TERESA DE LA INMACULADA;;;;;;;
423;SANTA GERTRUDIS;;;;;;;
424;SANTISIMA TRINIDAD;;;;;;;
425;MARISCAL SANTA CRUZ;;;;;;;
426;TACNA;;;;;;;
427;TOMAS EDISON;;;;;;;
428;TUPAC AMARU;;;;;;;
429;UNION;;;;;;;
430;LA UNION;;;;;;;
